,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,elapsed
2452,-0.006911398,-0.426728636,0.866829693,0.015942052,-0.000575951,0.005927272,530.372491,
2453,-0.013082289,-0.449645072,0.855619609,0.022963405,-0.003935151,0.002566902,530.571232,
2454,-0.015550646,-0.444820553,0.859031379,0.01929526,0.005837737,0.081056036,530.775348,
2455,-0.014069632,-0.443614423,0.860006213,0.01745975,-0.000576277,0.006224096,530.971073,
2456,-0.017031658,-0.460017771,0.848065019,0.016846105,0.003394213,0.004078965,531.175746,
2457,-0.016784824,-0.437342554,0.860249877,0.020813495,0.001255922,0.004994527,531.371811,
2458,-0.016784824,-0.447956473,0.854644895,0.021115944,-0.003325008,0.001634416,531.570929,
2459,-0.013575961,-0.440237254,0.860493541,0.016837105,0.003393888,0.005298768,531.775054,
2460,-0.017031658,-0.436860085,0.861224651,0.01500161,-0.005157461,0.003160157,531.97099,
2461,-0.013822797,-0.439996034,0.865367532,0.021412343,-0.001186894,0.000716344,532.178514,
2462,-0.013329125,-0.439996034,0.861955762,0.018049523,-0.004545786,0.001632471,532.372529,
2463,-0.015550646,-0.447474062,0.855375946,0.018657357,0.001562526,0.005602204,532.572531,
2464,-0.010367097,-0.431311905,0.865611255,0.014684156,0.004921586,0.00865505,532.775184,
2465,-0.012341782,-0.441443413,0.858300269,0.018346429,0.001561591,0.006515978,532.971511,
2466,-0.016291153,-0.439996034,0.859275103,0.014678553,-0.002714112,0.001329714,533.178965,
2467,-0.013082289,-0.438548684,0.859275103,0.019867599,3.48E-05,0.005299524,533.382271,
2468,-0.013575961,-0.435895205,0.862686872,0.015894502,3.48E-05,0.003160759,533.572016,
2469,-0.010367097,-0.444338113,0.861712039,0.020167515,-0.000575973,0.005603304,533.776694,
2470,-0.012341782,-0.456640601,0.855132222,0.017110392,-0.000575723,0.006823964,533.973038,
2471,-0.016537989,-0.448921382,0.855132222,0.016191348,-0.001491718,0.005296194,534.176613,
2472,-0.01875951,-0.439754814,0.862686872,0.017104909,-0.00027002,-0.075026527,534.374077,
